sentence_id,sentence,tokens,num_tokens,labels (space-separated),num_labels
sent_0015,"நாடக காதல் தெரிந்தளவு, லவ் ஜிகாத் பற்றியும் பக்களிடம் விழிப்புணர்வு தேவை..",நடக கதல தரநதளவ லவ ஜகத பறறயம பககளடம வழபபணரவ தவ,9,ta ta ta ta ta ta ta ta ta,9
sent_0016,1m likes varumnu solravagga like here,1m likes varumnu solravagga like here,6,na en ta ta en en,6
sent_0017,"படம் வெற்றி பெற வாழ்த்துக்கள்,குருமா குப்பலுக்கு குருமாவால் சொல்லப்படும் மறைமுக செய்தியே இந்த நாடக காதல்,",படம வறற பற வழததககளகரம கபபலகக கரமவல சலலபபடம மறமக சயதய இநத நடக கதல,12,ta ta ta ta ta ta ta ta ta ta ta ta,12
sent_0018,இந்த படத்தால நீங்க எந்த அளவுக்கு அசிங்கப்பட போறீங்க பாருங்கடா.,இநத படததல நஙக எநத அளவகக அசஙகபபட பறஙக பரஙகட,8,ta ta ta ta ta ta ta ta,8
sent_0019,Different aana thala epo paaka porom,Different aana thala epo paaka porom,6,en ta ta ta ta ta,6
sent_0020,Oruthar Mela Neenga Viswasam kaatrathukaga Innoruthar enn Asinga paduthu ringa,Oruthar Mela Neenga Viswasam kaatrathukaga Innoruthar enn Asinga paduthu ringa,10,ta ta ta ta ta ta ta ta ta ta,10
sent_0021,கருப்பு சுதந்திரத்தை பேசும் அவர்கள் சட்டத்தில் தான் ஒருவர் கூரும் கருத்து சுதந்திரமும் உள்ளது. ஒருவர் கூரும் கருத்திற்கு எதிர்ப்பு செல்ல எவருக்கும் உரிமை இல்லை...,கரபப சதநதரதத பசம அவரகள சடடததல தன ஒரவர கரம கரதத சதநதரமம உளளத ஒரவர கரம கரததறக எதரபப சலல எவரககம உரம இலல,19,ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta,19
sent_0022,Trailer kaga wait pannitu irunthavanga la like pannunga...,Trailer kaga wait pannitu irunthavanga la like pannunga,8,en ta en ta ta ta en ta,8
sent_0023,சரியானா movie im waiting எப்ப பார்த்தலும் கிளு சாதி க்கு seaport pannura நாயிக்கு செருப்பு அடி,சரயன movie im waiting எபப பரததலம கள சத கக seaport pannura நயகக சரபப அட,14,ta en en en ta ta ta ta ta en ta ta ta ta,14
sent_0024,இக்காலத்துக்கு தேவைப்படும் படம்... இது போன்ற படம் எடுக்க நிச்சயம் துணிச்சல் வேண்டும்.... வெற்றிபெற வாழ்த்துக்கள்....,இககலததகக தவபபடம படம இத பனற படம எடகக நசசயம தணசசல வணடம வறறபற வழததககள,12,ta ta ta ta ta ta ta ta ta ta ta ta,12
sent_0025,"MOKKA ACTOR""S PAKKA MOKKA TRAILER.., VJ PAANS GONNA BE ""SASI"".., -A MOLLYWOOD FILM LOVER",MOKKA ACTORS PAKKA MOKKA TRAILER VJ PAANS GONNA BE SASI A MOLLYWOOD FILM LOVER,14,ta en ta ta en ta ta en en ta ta en en en,14
sent_0026,Thala SIMBU da vere level va thalaiva,Thala SIMBU da vere level va thalaiva,7,ta ta ta ta en ta ta,7
sent_0027,Kaathu kidandha padam...... kolliwood'in kaadhai thirugi veru nalla dhisaikku izhuthu sellum....,Kaathu kidandha padam kolliwoodin kaadhai thirugi veru nalla dhisaikku izhuthu sellum,11,ta ta ta ta ta ta ta ta ta ta ta,11
sent_0028,நாடக காதல் என்ற பெயரில் நம் இன பெண்களை ஏமாற்றும் கும்பலுக்கு இனி அரிவாள் வெட்டு உண்டு ........,நடக கதல எனற பயரல நம இன பணகள ஏமறறம கமபலகக இன அரவள வடட உணட,13,ta ta ta ta ta ta ta ta ta ta ta ta ta,13
sent_0029,UYa hooo my name is Narayanaa,UYa hooo my name is Narayanaa,6,ta ta en en en ta,6
sent_0030,Who are like dhevaram( poonkodi annan) killing folk scene.. Mass ever seen in indian films ..,Who are like dhevaram poonkodi annan killing folk scene Mass ever seen in indian films,15,en en en ta ta ta en en en ta en en en en en,15
sent_0031,Madona sebastin ku than Jayalalitha young face apdiye set aagum,Madona sebastin ku than Jayalalitha young face apdiye set aagum,10,en en ta en ta en en ta en ta,10
sent_0032,படக்குழுவுக்கு வாழ்த்துக்கள்... ஆனால் கடைசியாக மொத்த அர்த்தங்களும் மாற்றாமல் இருந்தால் நல்லா இருக்கும்... climax la thavarukalai sutti katungal... anaivaroda thavarukalaium...,படககழவகக வழததககள ஆனல கடசயக மதத அரததஙகளம மறறமல இரநதல நலல இரககம climax la thavarukalai sutti katungal anaivaroda thavarukalaium,17,ta ta ta ta ta ta ta ta ta ta en ta ta ta ta ta ta,17
sent_0033,only 500 likes are need to hit 250k likes,only 500 likes are need to hit 250k likes,9,en na en en en en en na en,9
sent_0034,இனியாவது இந்த மாதிரி கூட்டத்திலிருந்து நம்ம பொண்ணுங்கள பாதுகாக்கனும்...ஜாதியை மனதில் விதைக்க வேண்டாம் ஆனால் நம்ம ஜாதியின் பெருமையை சொல்லி வளர்க்கவேண்டும்..நம்ம யாரு அவங்க யாருன்னு நம்ம பொண்ணுங்களுக்கு நல்லா தெரியவைக்கனும்...,இனயவத இநத மதர கடடததலரநத நமம பணணஙகள பதகககனமஜதய மனதல வதகக வணடம ஆனல நமம ஜதயன பரமய சலல வளரககவணடமநமம யர அவஙக யரனன நமம பணணஙகளகக நலல தரயவககனம,23,ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta,23
sent_0035,கடலூர் யாதவர் சார்பாக திரௌபதி படம் வெற்றி அடைய வாழ்த்துக்கள்.......,கடலர யதவர சரபக தரபத படம வறற அடய வழததககள,8,ta ta ta ta ta ta ta ta,8
sent_0036,"Kaththi , poojai maari Bigil , kaithi hit aagum",Kaththi poojai maari Bigil kaithi hit aagum,7,ta ta ta ta ta ta ta,7
sent_0037,தோழரே ஆகஸ்ட் மாதம் இந்தப் படத்தை வெளியிட்டார் என்ன ஒரு பிரயோஜனம் அதுவே இந்த எலக்சனுக்கு புள்ள வெளியிட்டார் உங்களால ஒரு 80 ஆயிரம் பேராவது திருந்துவாங்க பணம் மட்டும் சம்பாதிக்க போதாது நான் சொல்வது புரியுதுங்களா,தழர ஆகஸட மதம இநதப படதத வளயடடர எனன ஒர பரயஜனம அதவ இநத எலகசனகக பளள வளயடடர உஙகளல ஒர 80 ஆயரம பரவத தரநதவஙக பணம மடடம சமபதகக பதத நன சலவத பரயதஙகள,27,ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta na ta ta ta ta ta ta ta ta ta ta,27
sent_0038,Asuran trailer mass dhanush Anna super dhanush fan naa like podunga. Please,Asuran trailer mass dhanush Anna super dhanush fan naa like podunga Please,12,ta en ta ta ta en ta en ta en ta en,12
sent_0039,sema sema ore padama edukkama different story,sema sema ore padama edukkama different story,7,ta ta ta ta ta en en,7
sent_0040,Anni kilola makeup ese badulu Nitya Menon ni pettochu ka,Anni kilola makeup ese badulu Nitya Menon ni pettochu ka,10,ta ta en ta ta ta ta ta ta ta,10
sent_0041,Dai ennada yogi babu mudiya kanom pavamya antha manusan,Dai ennada yogi babu mudiya kanom pavamya antha manusan,9,ta ta ta ta ta ta ta ta ta,9
sent_0042,Malayalam king + Tamil king,Malayalam king Tamil king,4,na en na en,4
sent_0043,Aday telugu paiyangala unga bahubali record ah thookitu odunga 2.o comming.......,Aday telugu paiyangala unga bahubali record ah thookitu odunga 2o comming,11,ta en ta ta ta en ta ta ta na en,11
sent_0044,"Inga ellarum youngsters/padicahavanga epdi politics varanganu than Narrate panringa(LKG,Sarkar,Ayuthaeluthu) ... Anga youngsters/padichavanga politics ku vantha ennanenna nadakumnu padam edutha nalla irukum la like mudhalvan",Inga ellarum youngsterspadicahavanga epdi politics varanganu than Narrate panringaLKGSarkarAyuthaeluthu Anga youngsterspadichavanga politics ku vantha ennanenna nadakumnu padam edutha nalla irukum la like mudhalvan,23,ta ta na ta en ta ta ta ta ta na en ta ta ta ta ta ta ta ta ta en ta,23
sent_0045,ஆத்திரங்கள் அனைத்தும் அடங்கிய பின்பே கூந்தலை அள்ளி முடிவாள் திரௌபதி....ஆங்காங்கே மரண ஓலம் கேட்கிறதே!கௌரவர்களாகதான் இருக்கும்....,ஆததரஙகள அனததம அடஙகய பனப கநதல அளள மடவள தரபதஆஙகஙக மரண ஓலம கடகறதகரவரகளகதன இரககம,12,ta ta ta ta ta ta ta ta ta ta ta ta,12
sent_0046,I am marana waiting thala nkp movie,I am marana waiting thala nkp movie,7,en en ta en ta na en,7
sent_0047,கடலூர் மாவட்டம் செம்மங்குப்பம் வன்னியர் சங்கம் சார்பாக நம் குல சாமியின் பெயரை படத்தின் பெயராக வைத்ததற்கும் படம் வெற்றி பெறவும் வாழ்த்துக்கள்.,கடலர மவடடம சமமஙகபபம வனனயர சஙகம சரபக நம கல சமயன பயர படததன பயரக வதததறகம படம வறற பறவம வழததககள,17,ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta,17
sent_0048,69 vayasula...yaaralayum ipdi oru style & Mass ah kaata mudiyathu....only one super star will create this magic,69 vayasulayaaralayum ipdi oru style Mass ah kaata mudiyathuonly one super star will create this magic,16,na ta ta ta en ta ta ta ta en en en en en en en,16
sent_0049,NGK KERALA FANS SHOW TICKET HEAVY DEAMAND VEERITHANAM OVER LOADING,NGK KERALA FANS SHOW TICKET HEAVY DEAMAND VEERITHANAM OVER LOADING,10,na na en en en en en ta en en,10
sent_0050,Super concept bro ranna bro vera lvl pannitinga first padam maari terila trailer cut ahh super na padam kandipa padam vera lvl irukunu expect panni kandipa padathuku ponnum,Super concept bro ranna bro vera lvl pannitinga first padam maari terila trailer cut ahh super na padam kandipa padam vera lvl irukunu expect panni kandipa padathuku ponnum,28,en en en ta en ta en ta en ta ta ta en en en en ta ta ta ta ta en ta en ta ta ta ta,28
sent_0051,Ghibran pundaya vitta ungalukku vera aale kedaika laya da.,Ghibran pundaya vitta ungalukku vera aale kedaika laya da,9,ta ta ta ta ta ta ta ta ta,9
sent_0052,"Appu, ithu enna telegu padam matri iruku. ! Tamil padam yedugeda!",Appu ithu enna telegu padam matri iruku Tamil padam yedugeda,10,ta ta ta en ta ta ta na ta ta,10
sent_0053,Looks like remake of pink movie,Looks like remake of pink movie,6,en en en en en en,6
sent_0054,Un like pottavan ellarum surya Anna ku bayanthavanunga da........,Un like pottavan ellarum surya Anna ku bayanthavanunga da,9,ta en ta ta ta ta ta ta ta,9
sent_0055,நிறைய பேரு சைக்கோ ஆகிருப்பாங்க ராஜா சார் ரஹ்மான் இல்லனா ஒரு பானை சாப்பாடு க்கு ஒரு சோறு பதம் னு சொல்லுவாங்க ராஜா சார் : தத்துவம் கனவு காணும் வாழ்கையாவும் (நீங்கள் கேட்டவை ) ரஹ்மான் சார் : கொண்டாட்டம் மான மதுரை மாமர கிளியே (மின்சாரக்கனவு ) தத்துவம் மனசை பக்குவப்படுத்தும் கொண்டாட்டம் மனசை இளமையாக்கும் இது தெரியாமல் சண்டடை போடுபவர்களுக்கு டாக்டர் எப்படி பட்டவரா இருக்கட்டும் நமக்கு நோய் தீர்ந்ததானு மட்டும் பார்ப்பவர்கள் மட்டுமே உண்மையான இசை காதலர்கள்,நறய பர சகக ஆகரபபஙக ரஜ சர ரஹமன இலலன ஒர பன சபபட கக ஒர சற பதம ன சலலவஙக ரஜ சர தததவம கனவ கணம வழகயவம நஙகள கடடவ ரஹமன சர கணடடடம மன மதர மமர களய மனசரககனவ தததவம மனச பககவபபடததம கணடடடம மனச இளமயககம இத தரயமல சணடட படபவரகளகக டகடர எபபட படடவர இரககடடம நமகக நய தரநததன மடடம பரபபவரகள மடடம உணமயன இச கதலரகள,56,ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta na ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta na ta ta ta ta ta ta ta ta ta ta ta ta,56
sent_0056,Karthi annaaaa vera level acting,Karthi annaaaa vera level acting,5,ta ta ta en en,5
sent_0057,Suriya annan ഉയിർ ടാ,Suriya annan ഉയർ ട,4,ta ta ta ta,4
sent_0058,1:17 verithanama iruku nu solravanga like podunga,117 verithanama iruku nu solravanga like podunga,7,na ta ta ta ta en ta,7
sent_0059,"Telugu trailer yeppudu vastundhi Anna .........Rajini sir.... style super ..... ,",Telugu trailer yeppudu vastundhi Anna Rajini sir style super,9,en en ta ta ta ta en en en,9
sent_0060,NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK,NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK,64,na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na,64
sent_0061,பிரித்தாளும் சூழ்ச்சியில் சிக்கிவிடாதே தமிழா சாதி மறந்து இனமாய் ஒன்று படுவோம்,பரததளம சழசசயல சககவடத தமழ சத மறநத இனமய ஒனற படவம,9,ta ta ta ta ta ta ta ta ta,9
sent_0062,Yo padam release date yaravadhu sollunga da,Yo padam release date yaravadhu sollunga da,7,en ta en en ta ta ta,7
sent_0063,ஆதி அண்ணா ரசிகர்கள் மட்டும் லைக் பண்ணுங்க,ஆத அணண ரசகரகள மடடம லக பணணஙக,6,ta ta ta ta ta ta,6
sent_0064,Why didn't you cast Vidya balan?,Why didnt you cast Vidya balan,6,en en en en ta ta,6
sent_0065,Movie nalla irukumo illayo trailer super ah irukku mass,Movie nalla irukumo illayo trailer super ah irukku mass,9,en ta ta ta en en ta ta ta,9
sent_0066,Trailer paakkumbothe sirippu thaanga mudila..semma padam aa vara poguthu..specially last scene,Trailer paakkumbothe sirippu thaanga mudilasemma padam aa vara poguthuspecially last scene,11,en ta ta ta ta ta ta ta ta en en,11
sent_0067,சாதியை வைத்து தீண்டாமையை ஒழிக்க படமாக்குவது முற்போக்குத்தனம்... அதே சாதியை வைத்து வன்முறையை தூண்டுவதுபோல் படமெடுப்பது முட்டாள்தனம்... பரியேறும்பெருமாள் என்ற ஒடுக்குமுறை படைப்புகளுக்கு முன்... இந்த திரௌபதி என்ற சாதியவெறி படைப்பாகாது. comment box க்கு வரும் தோழர்கள் சாதி என்ற செருப்பை கழட்டி விட்டு வரவும். என்னோட blood O+,சதய வதத தணடமய ஒழகக படமககவத மறபககததனம அத சதய வதத வனமறய தணடவதபல படமடபபத மடடளதனம பரயறமபரமள எனற ஒடககமற படபபகளகக மன இநத தரபத எனற சதயவற படபபகத comment box கக வரம தழரகள சத எனற சரபப கழடட வடட வரவம எனனட blood O,37,ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta na ta ta ta ta ta ta en en ta ta ta ta ta ta ta ta ta ta en en,37
sent_0068,kappan blockbuster movienu solravunga like podonga,kappan blockbuster movienu solravunga like podonga,6,ta en na ta en ta,6
sent_0069,Intha movie Tirunelveli slang la eduthuruntha innum konjam nalla irunthurukkum,Intha movie Tirunelveli slang la eduthuruntha innum konjam nalla irunthurukkum,10,ta en ta en ta ta ta ta ta ta,10
sent_0070,Semma kalaai for rajini...emaathu naayi...fraud arasiyaluku varen varentu emathuran...,Semma kalaai for rajiniemaathu naayifraud arasiyaluku varen varentu emathuran,9,ta ta en ta ta ta ta ta ta,9
sent_0071,70 க்கும் மேல பாத்தாச்சு. கருப்பு சட்டையை கதற விட்டானுங்க...,70 ககம மல பததசச கரபப சடடய கதற வடடனஙக,8,na ta ta ta ta ta ta ta,8
sent_0072,Sari papa nee oru parayan pona kadu papa aprom nee neyaa tharamam pasu papa,Sari papa nee oru parayan pona kadu papa aprom nee neyaa tharamam pasu papa,14,ta na ta ta ta ta ta na ta ta ta ta ta na,14
sent_0073,pakkkka massss ....therikkka vidrom ...thala fans,pakkkka massss therikkka vidrom thala fans,6,ta ta ta ta ta en,6
sent_0074,புதுவை வன்னியர் சமுகம் சார்பாக திரௌபதி படம் வெற்றி பெற வாழ்த்துக்கள்...,பதவ வனனயர சமகம சரபக தரபத படம வறற பற வழததககள,9,ta ta ta ta ta ta ta ta ta,9
sent_0075,"கோமாளி படத்தின் டிரைலரை காண்பித்து என்னை கிண்டல் செய்யும் நண்பர்களுக்கு, ரஜினி 2017ற்கு முன்பு நான் அரசியலுக்கு வருவது உறுது என்றோ அல்லது நான் இந்த தேதியில் தேர்தலில் நிற்க போகிறேன் என்றோ அவர் பேசிய வீடியோ அல்லது எந்ந ஆதாரத்தை காண்பித்தூலும் நான் ரஜினியை ஆதரிப்பதை நிறுத்த தயாராக இருக்கிறேன்.",கமள படததன டரலர கணபதத எனன கணடல சயயம நணபரகளகக ரஜன 2017றக மனப நன அரசயலகக வரவத உறத எனற அலலத நன இநத ததயல தரதலல நறக பகறன எனற அவர பசய வடய அலலத எநந ஆதரதத கணபததலம நன ரஜனய ஆதரபபத நறதத தயரக இரககறன,37,ta ta ta ta ta ta ta ta ta na ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta na ta ta ta ta ta ta ta ta ta ta,37
sent_0076,Thala dialogue delivery vara level marana waiting NKP movie,Thala dialogue delivery vara level marana waiting NKP movie,9,ta en en ta en ta en na en,9
sent_0077,When 2:30 comes.. I felt like sivakarthikeyan.. (mass ka bap rajani sir),When 230 comes I felt like sivakarthikeyan mass ka bap rajani sir,12,en na en en en en ta ta ta ta ta en,12
sent_0078,Thalaivaaaaa...... Gethu kaatriye thalaivaa... Teaser semma podu poduthu..... Semma thalaiva...,Thalaivaaaaa Gethu kaatriye thalaivaa Teaser semma podu poduthu Semma thalaiva,10,ta ta ta ta en ta ta ta ta ta,10
sent_0079,10 million views varamuttum oya Maatean...,10 million views varamuttum oya Maatean,6,na en en ta ta ta,6
sent_0080,Thalaiavar mass pannirukaru polaye Vijay sethupathy ah sonna,Thalaiavar mass pannirukaru polaye Vijay sethupathy ah sonna,8,ta ta ta ta ta ta ta ta,8
sent_0081,தேவர் சமுதாயத்தின் சார்பில் இத்திரைப்படம் ஒரு புதிய புரட்சியை உருவாக்க வாழ்த்துகிறோம்......நாடக காதலின் உண்மையை எடுத்துரைக்க வருகிறாள் திரெளபதி,தவர சமதயததன சரபல இததரபபடம ஒர பதய பரடசய உரவகக வழததகறமநடக கதலன உணமய எடததரகக வரகறள தரளபத,14,ta ta ta ta ta ta ta ta ta ta ta ta ta ta,14
sent_0082,Bigil thalapathy da ........... aamaiyan gala,Bigil thalapathy da aamaiyan gala,5,ta ta ta ta ta,5
sent_0083,நம்ம ஒரு ஏரியில் குதித்து விளையாடுவம்ல அது எங்க அது மேல்தான் நடக்குரொம் செம்ம,நமம ஒர ஏரயல கததத வளயடவமல அத எஙக அத மலதன நடககரம சமம,11,ta ta ta ta ta ta ta ta ta ta ta,11
sent_0084,புளோரிடா மாகாணம் டிரம்ப் பரம்பரை சார்பாக படம் அமெரிக்காவில் ஓட வாழ்த்துக்கள்,பளரட மகணம டரமப பரமபர சரபக படம அமரககவல ஓட வழததககள,9,ta ta ta ta ta ta ta ta ta,9
sent_0085,yuvan BGM la pinni pedal ethuruka polaaaa..... vera level BGM,yuvan BGM la pinni pedal ethuruka polaaaa vera level BGM,10,ta na ta ta ta ta ta ta en na,10
sent_0086,"Hindi PINK ku viswaasama irukra fans, enga NERKONDA PAARVAI ya asinga paduthaadheenga!",Hindi PINK ku viswaasama irukra fans enga NERKONDA PAARVAI ya asinga paduthaadheenga,12,na en ta ta ta en ta ta ta ta ta ta,12
sent_0087,சூப்பர் சிவா அண்ணா நல்ல உழைப்பு உங்கள் டீம் வாழ்த்துக்கள் அண்ணா,சபபர சவ அணண நலல உழபப உஙகள டம வழததககள அணண,9,ta ta ta ta ta ta ta ta ta,9
sent_0088,start and end look same :),start and end look same,5,en en en en en,5
sent_0089,Dhanush Vetrimaran Gv Yathuku pa promosion panununum Panamala akum Movie Don't worry,Dhanush Vetrimaran Gv Yathuku pa promosion panununum Panamala akum Movie Dont worry,12,ta ta ta ta ta ta ta ta ta en en en,12
sent_0090,Thala ipdi neraya neraya neraya neraya dialogue sema,Thala ipdi neraya neraya neraya neraya dialogue sema,8,ta ta ta ta ta ta en ta,8
sent_0091,2.18 Viswasam result nu nenaikiren,218 Viswasam result nu nenaikiren,5,na ta en ta ta,5
sent_0092,"பரியேரும் பெருமாள், அசுரன் படங்களை எற்றுக் கொண்ட நாம் இந்த படத்தையும் ஏற்றுக் கொள்ள தான் வேண்டும்.",பரயரம பரமள அசரன படஙகள எறறக கணட நம இநத படததயம ஏறறக களள தன வணடம,13,ta ta ta ta ta ta ta ta ta ta ta ta ta,13
sent_0093,அகில இந்திய தலித் மக்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,அகல இநதய தலத மககள சரபக படம வறற பற வழததககள,9,ta ta ta ta ta ta ta ta ta,9
sent_0094,Thalaivar kannula irukura power than avar irukum vetriyin tower.....chinna pasanga ellam orama poitu vilaiyadunga......thalaivaaaa is comingggggg,Thalaivar kannula irukura power than avar irukum vetriyin towerchinna pasanga ellam orama poitu vilaiyadungathalaivaaaa is comingggggg,16,ta ta ta en ta ta ta ta na ta ta ta ta ta en en,16
sent_0095,Ivaruku vayase agadha Love u vikram sir,Ivaruku vayase agadha Love u vikram sir,7,ta ta ta en en ta en,7
sent_0096,mass da ...singam varudhu ...puli ..vedhalam yella mudtu kelambunga pa,mass da singam varudhu puli vedhalam yella mudtu kelambunga pa,10,ta ta ta ta ta ta ta ta ta ta,10
sent_0097,Amazing Film NGK Fire ... Next Loading Kaappaan .,Amazing Film NGK Fire Next Loading Kaappaan,7,en en na en en en ta,7
sent_0098,HiNdI version,HiNdI version,2,na en,2
sent_0099,Suriya anna voice konjam idathla karthi anna maari kettath enakumattuma,Suriya anna voice konjam idathla karthi anna maari kettath enakumattuma,10,ta ta en ta ta ta ta ta ta ta,10
sent_0100,Enna da meme poda conceft ethume illa....worst da....,Enna da meme poda conceft ethume illaworst da,8,ta ta en ta en ta na ta,8
sent_0101,படம் ரொம்ப ஹிட் ஆக வேண்டுமானால் மறுமலர்ச்சி படத்தில் வருவது போல ஒரு பாடல் வேண்டும்,படம ரமப ஹட ஆக வணடமனல மறமலரசச படததல வரவத பல ஒர படல வணடம,12,ta ta ta ta ta ta ta ta ta ta ta ta,12
sent_0102,fastest 300k likes in world.. wowwww,fastest 300k likes in world wowwww,6,en na en en en en,6
sent_0103,Sorry bha ... Plz konjam yellam othungu ... Asuran vanthachi verithaname intha padam than,Sorry bha Plz konjam yellam othungu Asuran vanthachi verithaname intha padam than,12,en ta en ta ta ta ta ta ta ta ta ta,12
sent_0104,ponnunga currecta irukanum sinna vayasula irunthu family la solli kudukanum ipala 12th mudichathume kalyanam panidanum,ponnunga currecta irukanum sinna vayasula irunthu family la solli kudukanum ipala 12th mudichathume kalyanam panidanum,15,ta na ta ta ta ta en ta ta ta ta na ta ta ta,15
sent_0105,Petta superstar back to 1995 super.,Petta superstar back to 1995 super,6,ta en en en na en,6
sent_0106,Anna.... Neeum Vera level .. Un Padam um Vera level .. Un protection um vera level..,Anna Neeum Vera level Un Padam um Vera level Un protection um vera level,14,ta ta ta en ta ta ta ta en ta en ta ta en,14
sent_0107,Entha trailer poi Dis like pannuarenga la enna pannalam,Entha trailer poi Dis like pannuarenga la enna pannalam,9,ta en ta en en ta ta ta ta,9
sent_0108,Surya ku no jodi Single the masssss,Surya ku no jodi Single the masssss,7,ta ta ta ta en en ta,7
sent_0109,Thalaiva yennaikum unna win panna mudiyathu,Thalaiva yennaikum unna win panna mudiyathu,6,ta ta ta en ta ta,6
sent_0110,0.48 0.49 thalaiva unakku vayasu 53 yaaa,048 049 thalaiva unakku vayasu 53 yaaa,7,na na ta ta ta na ta,7
sent_0111,Kadaisila 96 rajini tha yaa uplose mass thukuthu,Kadaisila 96 rajini tha yaa uplose mass thukuthu,8,ta na ta ta ta en ta ta,8
sent_0112,2019 Mega hit blockbuster Movie in tamil cinema nerkonda paarvai,2019 Mega hit blockbuster Movie in tamil cinema nerkonda paarvai,10,na en en en en en na en ta ta,10
